UR (%),Vel (m/s),Rs (Mj/dia),TMax (ºC),Tmin (ºC),Qo (Mj/dia),Base de dados,Cidade,dp-UR,dp-Vel,dp-Rs,dp-TMax,dp-Tmin,dp-Qo
"64,2","1,5","17,9","29,9","18,4","33,5",INMET,Cidade Gaúcha,"11,7","0,90","7,00","4,50","3,80","7,30"
"75,7","0,2","18,5","29,7","17,4","33,5",NASA/POWER,Cidade Gaúcha,10,"0,10","6,70","4,60","4,40","7,40"
"60,2","2,5","17,3","28,1",17,"32,9",INMET,Foz do Iguaçu,"4,6","1,40","8,50","5,30","4,90","7,80"
"75,3","0,9","17,8","27,7","18,4","32,9",NASA/POWER,Foz do Iguaçu,"11,3","0,20","7,50","4,90","5,1","7,90"
"67,9","3,1","17,5","28,5","17,1",33,INMET,Marechal Cândido Rondon,"12,2","1,40","7,40","4,90","4,60","7,60"
"76,6",1,"17,8","27,7","16,8",33,NASA/POWER,Marechal Cândido Rondon,"11,3","0,30","7,30","4,70","4,70","7,70"
"63,6","2,1","18,7","28,6","18,3","33,3",INMET,Maringá,"14,4","0,70","7,00","4,20","3,60","7,30"
"74,5","2,1","18,2","28,3",17,"33,3",NASA/POWER,Maringá,"11,7","0,70","6,50","4,20","4,20","7,50"
"67,2","1,8","17,5","26,9","16,2","32,8",INMET,Nova Tebas,"13,1","1,30","7,80","4,30","4,30","7,50"
"79,8","0,3","17,7","25,2","15,3","32,7",NASA/POWER,Nova Tebas,"10,4","0,10","6,60","4,00","4,30","7,60"
"64,6","2,4","17,7","27,9","17,2","32,9",INMET,Planalto,"16,5","1,20","8,1","5,1","4,50","7,80"
"76,3","0,2","17,7","27,4","16,7",33,NASA/POWER,Planalto,"11,7","0,00","7,40","5,00","4,80","7,90"
"66,8",2,"16,8","28,2","17,5","33,1",INMET,Sete Quedas,"14,7","1,20","7,30","6,1","4,90","7,40"
"77,3","0,7",18,"28,1","17,5","33,2",NASA/POWER,Sete Quedas,"11,5","0,20","7,1","4,80","4,80","7,40"
